tunny,keep
tuque,keep
turfs,keep
turps,reject
tushy,keep
tusky,reject
tutee,keep
tutty,reject
tuxes,keep
tweel,reject
twirp,reject
twite,keep
tyers,keep
tynes,keep
typic,reject
tyran,reject
tyred,keep
tyros,keep
ugali,keep
uhlan,keep
ukase,keep
ulpan,reject
umbel,keep
umble,reject
umiak,keep
unary,keep
unban,keep
unbar,keep
uncap,keep
uncia,reject
uncus,keep
unfed,keep
unfix,keep
unhip,keep
unjam,keep
unman,keep
unpin,keep
unsay,keep
unset,keep
unsex,keep
updos,keep
uplay,reject
upsee,reject
urate,keep
ureas,keep
urena,reject
urman,reject
ursae,reject
usnea,reject
usque,reject
uteri,keep
utile,keep
uveal,keep
uvula,keep
vacua,keep
vails,keep
vakil,keep
valis,reject
valse,reject
vampy,keep
varan,keep
varas,keep
vares,reject
varix,keep
varve,keep
vasal,reject
vasty,reject
vatic,keep
vaunt,keep
veale,reject
veery,keep
veges,reject
vegie,reject
veldt,keep
veles,reject
vells,reject
velum,keep
vends,keep
venge,reject
verra,reject
verst,keep
verts,keep
vexes,keep
vibey,keep
viers,reject
vigia,keep
vilde,reject
viler,keep
vills,keep
vinal,reject
vinas,keep
vinca,keep
vinos,keep
viols,keep
vireo,keep
virga,keep
virge,reject
virtu,keep
vises,keep
vison,keep
visto,reject
vitas,reject
vitex,keep
vitta,keep
vivas,keep
vivat,reject
viver,reject
vizir,keep
vizor,keep
voces,reject
vodou,keep
vodun,reject
volar,keep
volks,reject
volti,reject
volva,keep
volve,keep
vomer,keep
vrouw,reject
vulgo,reject
vulns,reject
wacks,keep
waddy,keep
wader,keep
wadis,keep
waide,reject
waifs,keep
wains,keep
wakas,reject
waler,keep
walis,reject
wangs,keep
wanks,keep
wanky,keep
wanly,keep
wanty,keep
warez,reject
warks,reject
warre,reject
waspy,keep
wavey,reject
waxen,keep
waxer,keep
weans,keep
wecht,reject
wedel,reject
wedgy,keep
weeke,reject
wefts,keep
welke,reject
wends,keep
wenge,keep
wetly,keep
whang,keep
whata,reject
wheen,keep
whelk,keep
whelm,reject
whens,reject
whets,keep
whins,keep
whirs,keep
whits,keep
whity,reject
whomp,keep
whoof,reject
whoot,reject
whump,keep
wicky,reject
wides,reject
wifed,reject
wigga,reject
wiggy,reject
wilga,reject
wilis,reject
winey,keep
winge,reject
wingy,reject
winna,reject
winns,reject
winos,keep
wises,keep
witan,reject
withs,reject
withy,keep
wodge,keep
wolds,keep
wolly,reject
wolve,reject
womyn,reject
wonks,keep
wooer,keep
woofs,keep
woofy,reject
woosh,keep
wootz,reject
worts,keep
wowee,reject
wrang,keep
wrapt,keep
wussy,keep
wuxia,reject
wyles,reject
wynns,reject
xebec,keep
xeric,keep
xrays,reject
xylan,keep
yabba,reject
yabby,keep
yakka,keep
yales,keep
yamen,reject
yangs,keep
yappy,keep
yawed,keep
yawls,keep
yeard,reject
yenta,keep
yente,keep
yeses,keep
yetis,keep
yipes,keep
yippy,keep
yobbo,keep
yogas,keep
yogin,keep
yokel,keep
yoker,reject
yolky,keep
yonis,keep
yonks,keep
yourn,keep
yowie,reject
yowls,keep
yuans,keep
yucks,keep
yugas,keep
yukos,reject
yulan,keep
yummo,reject
yuppy,keep
zambo,reject
zamia,keep
zanja,reject
zante,reject
zanza,reject
zappy,keep
zazen,keep
zineb,reject
zings,keep
zingy,keep
zombi,keep
zonda,reject
zoner,keep
zooid,keep
zooks,reject
zouks,keep
zowie,keep
zupan,reject
zygon,reject
